alias,url,sha256,size_bytes,license,notes
qwen2.5-0.5b-instruct-q8_0,https://huggingface.co/Qwen/Qwen2.5-0.5B-Instruct-GGUF/resolve/9217f5db79a29953eb74d5343926648285ec7e67/qwen2.5-0.5b-instruct-q8_0.gguf,ca59ca7f13d0e15a8cfa77bd17e65d24f6844b554a7b6c12e07a5f89ff76844e,675710816,Apache-2.0,Qwen2.5 0.5B Instruct Q8_0; the CI-integration model (smallest download).
qwen2.5-1.5b-instruct-q4_k_m,https://huggingface.co/Qwen/Qwen2.5-1.5B-Instruct-GGUF/resolve/91cad51170dc346986eccefdc2dd33a9da36ead9/qwen2.5-1.5b-instruct-q4_k_m.gguf,6a1a2eb6d15622bf3c96857206351ba97e1af16c30d7a74ee38970e434e9407e,1117320736,Apache-2.0,Qwen2.5 1.5B Instruct Q4_K_M; the demo default.
qwen2-vl-2b-instruct-q4_k_m,https://huggingface.co/ggml-org/Qwen2-VL-2B-Instruct-GGUF/resolve/bb307c036e8a1ed7b663bbd0c35b41c4c9294cfd/Qwen2-VL-2B-Instruct-Q4_K_M.gguf,5745685d2e607a82a0696c1118e56a2a1ae0901da450fd9cd4f161c6b62867d7,986046944,Apache-2.0,Qwen2-VL 2B Instruct Q4_K_M; the vision default (D-026.8) -- pair with qwen2-vl-2b-instruct-mmproj-f16 via llm(projector=). License verified from the HF card of ggml-org/Qwen2-VL-2B-Instruct-GGUF (apache-2.0; the 2B and 7B Qwen2-VL are Apache-2.0).
qwen2-vl-2b-instruct-mmproj-f16,https://huggingface.co/ggml-org/Qwen2-VL-2B-Instruct-GGUF/resolve/bb307c036e8a1ed7b663bbd0c35b41c4c9294cfd/mmproj-Qwen2-VL-2B-Instruct-f16.gguf,ecb20cabcdd8dbc277de06bd6eb980aeb2adfaaba9f199a434e328d205675d03,1331656160,Apache-2.0,The mmproj (vision projector) companion of qwen2-vl-2b-instruct-q4_k_m; pass its path as llm(projector=). Same repo/revision/license as the model alias.
